Battery_Voltage_V,Battery_Temperature_C,State_of_Charge_Percent,Charge_Discharge_Cycles,Current_A,Battery_Age_Months,Internal_Resistance_mOhm,Ambient_Temperature_C,Battery_Health_Percent
383.1,67.32,51.91,357,-138.26,36.0,37.7,29.89,85.32
396.81,26.75,92.8,574,-10.77,91.3,52.7,26.83,78.6
380.92,31.5,55.72,467,-40.68,70.3,44.14,29.46,86.98
384.71,18.44,63.64,676,10.06,57.5,46.55,20.31,84.32
370.51,31.26,30.36,91,-27.23,15.0,33.11,32.19,98.79
395.56,28.34,87.75,301,-88.76,15.0,31.33,14.31,96.14
351.12,69.05,7.31,20,-102.25,5.6,29.71,50.0,87.76
379.88,51.29,57.94,1014,-64.11,83.2,53.57,42.47,74.69
371.49,46.63,41.47,559,-47.23,57.7,44.15,41.27,78.87
383.63,16.01,62.37,896,-28.37,68.0,48.28,15.25,81.24
366.99,21.14,39.22,28,-74.23,2.0,30.24,11.79,98.59
390.39,42.83,73.18,681,62.36,93.1,51.08,30.75,77.88
353.48,24.2,6.93,983,-7.88,79.9,46.37,24.96,74.71
374.3,45.6,43.56,266,12.44,20.4,,46.48,91.3
392.91,35.8,83.97,139,-48.32,17.5,32.39,34.28,95.73
364.75,49.53,28.77,146,-102.25,17.6,35.48,27.59,89.42
355.71,46.78,10.01,112,13.0,29.2,37.02,42.8,89.74
378.1,49.29,52.17,576,-99.61,50.4,43.65,29.82,82.55
404.76,70.0,97.77,182,-161.37,41.5,38.26,30.29,84.22
349.5,39.05,11.1,64,-6.06,28.0,30.81,38.42,89.42
357.45,36.4,11.66,491,-85.34,58.7,41.9,21.23,85.52
380.9,40.41,61.54,177,-60.06,13.4,33.07,38.19,94.88
363.85,34.96,28.76,386,1.64,28.0,37.84,33.66,92.38
364.9,40.91,43.97,348,-95.82,35.2,38.74,18.79,88.52
393.69,70.0,83.9,358,-136.13,43.8,36.25,47.58,82.09
361.57,25.41,23.89,325,33.17,75.4,46.51,23.43,85.73
384.16,17.03,73.33,223,-43.5,19.2,33.06,11.66,97.71
376.59,24.09,52.93,452,35.44,49.4,37.39,20.22,87.68
394.61,18.0,90.97,515,-2.43,56.9,45.25,17.64,85.44
393.49,31.5,97.43,32,-0.66,4.5,29.16,29.96,99.89
375.8,47.69,51.07,431,-30.19,58.3,44.45,44.23,84.25
382.01,29.97,60.54,75,-30.24,16.4,29.72,30.49,98.48
386.28,43.14,75.86,71,28.07,6.2,30.84,43.86,94.42
368.42,36.24,35.27,860,8.87,91.1,50.34,38.67,76.76
363.59,9.66,26.54,1078,-75.34,92.7,55.48,1.34,76.4
401.46,38.83,96.65,652,-10.42,77.6,46.38,36.99,78.6
372.74,35.72,46.1,197,-77.16,29.2,37.14,22.19,90.78
354.98,40.93,5.15,44,-58.76,9.4,31.0,33.13,98.57
391.35,30.81,84.58,542,-5.9,65.7,43.95,27.42,85.16
386.89,61.57,61.97,247,-78.07,42.3,40.6,50.0,82.43
359.2,32.92,21.01,94,-31.14,11.7,36.61,32.36,94.96
351.88,34.67,7.86,323,-17.19,47.5,39.63,33.84,89.68
366.04,48.35,32.69,5,-60.36,3.3,29.0,38.78,99.34
394.39,11.95,93.15,750,3.18,87.3,50.31,13.11,82.78
393.09,51.53,93.68,238,-66.37,24.8,36.32,38.83,86.16
369.46,26.25,34.55,344,16.56,63.6,39.4,25.84,90.77
383.02,24.18,84.41,222,-32.16,29.9,34.68,21.09,92.26
371.34,38.28,46.98,675,-29.63,49.9,41.23,36.2,83.56
379.56,29.97,67.16,662,-93.93,52.5,42.19,13.12,85.65
368.81,45.06,36.77,147,-54.08,17.7,37.04,37.39,89.52
370.44,21.08,54.02,716,-28.31,93.1,46.55,26.43,83.19
368.1,27.24,32.91,598,21.47,74.4,47.88,27.0,82.45
357.37,14.18,10.81,946,-59.3,90.2,52.25,5.56,74.08
354.22,35.0,18.24,950,21.24,85.9,52.87,37.0,75.71
366.88,43.64,32.61,626,-85.34,57.4,42.53,30.48,83.21
400.42,23.14,97.74,760,-19.95,88.5,49.96,23.33,76.86
401.19,27.98,96.74,100,-70.41,8.5,34.73,18.73,98.01
387.41,40.16,83.63,194,52.65,18.8,33.85,35.82,91.3
358.72,32.94,27.09,0,41.82,4.3,33.47,31.48,100.0
377.98,28.95,46.95,297,-22.86,31.2,32.21,28.05,94.45
370.92,30.13,46.78,454,-72.1,37.3,41.21,18.12,90.34
369.3,66.12,41.76,314,-131.02,26.0,37.13,31.03,81.17
356.53,33.08,9.26,745,-17.3,79.6,46.51,30.43,78.67
374.38,42.28,55.78,317,-27.55,34.2,40.13,41.16,87.61
355.16,18.81,11.92,313,11.49,27.0,35.68,16.03,92.95
393.27,51.05,81.18,460,-127.98,52.1,42.88,20.84,85.93
381.07,52.04,70.67,96,-31.51,13.5,31.02,47.44,92.53
367.75,32.51,38.51,1002,-14.26,77.0,50.56,29.92,78.26
379.86,45.09,66.48,101,-94.12,7.2,33.49,30.53,96.99
361.25,40.77,27.14,681,-33.01,94.7,55.73,37.66,76.45
368.66,59.85,30.2,699,-83.62,74.1,46.32,46.12,76.47
371.64,32.2,34.84,108,-89.52,19.1,36.44,16.38,98.43
391.13,60.27,80.72,0,-71.84,0.5,32.76,49.82,93.39
364.1,32.59,25.02,957,-55.97,78.3,52.59,27.56,79.8
380.75,34.87,58.46,535,34.32,67.9,47.06,30.64,84.96
360.01,35.64,24.04,782,-59.31,70.0,46.91,28.6,81.27
366.75,57.2,32.08,497,-90.75,74.0,44.13,42.98,78.3
359.8,37.66,27.37,105,8.77,7.1,31.17,37.58,93.04
380.26,26.54,66.28,201,21.66,34.4,37.71,26.55,91.68
377.26,18.13,55.04,128,9.17,11.1,32.35,16.73,97.19
383.58,26.49,73.52,762,42.16,82.9,48.56,25.57,82.1
359.13,20.25,25.89,566,-28.46,59.8,43.23,14.63,85.44
350.8,39.03,5.87,234,-30.66,31.8,36.5,36.91,95.86
388.26,32.27,69.65,111,-82.23,6.1,33.74,21.22,98.82
362.63,30.43,15.91,160,43.94,29.9,33.92,26.98,94.93
364.1,42.91,28.4,196,-45.53,31.2,37.77,39.73,87.4
368.77,,34.04,779,-58.21,70.0,49.35,36.07,79.53
386.28,40.77,75.95,553,-63.58,61.2,43.66,31.83,84.52
376.03,24.51,64.46,864,-1.81,85.2,52.01,20.04,79.38
358.57,39.04,22.51,496,-34.99,45.3,44.13,32.85,85.95
379.97,22.09,61.8,38,-28.63,11.5,31.45,20.05,97.78
386.56,38.46,72.27,500,-59.47,68.5,43.73,32.94,82.2
370.67,20.88,41.95,445,-51.9,73.0,43.48,14.93,83.16
363.34,46.33,28.37,652,-48.88,53.9,42.91,40.07,86.67
383.03,34.51,69.5,694,45.29,74.0,49.62,30.0,79.49
382.55,70.0,63.03,257,-148.07,47.4,39.56,27.87,79.89
352.11,33.14,12.4,320,-13.11,50.2,37.53,31.91,90.01
386.57,28.69,68.33,436,25.29,41.0,43.03,26.85,85.52
373.95,70.0,51.41,34,-150.31,2.4,30.34,28.68,92.49
394.49,44.58,76.57,135,-44.29,10.4,33.87,40.91,95.79
360.61,43.11,23.12,74,18.93,3.0,32.39,38.57,92.4
363.32,50.62,29.53,349,-85.18,61.1,40.99,35.13,82.43
376.62,34.0,56.61,468,-23.89,30.2,36.74,30.52,92.54
373.97,47.26,50.76,655,-95.92,48.8,41.94,24.84,82.75
372.67,39.26,41.7,649,-38.01,87.1,49.17,38.73,81.16
387.81,26.78,75.87,238,36.66,23.9,36.85,18.89,97.25
382.29,55.41,58.65,430,61.74,39.4,43.94,45.84,81.73
387.63,38.66,72.48,518,-24.69,72.5,47.85,35.12,83.24
359.87,65.73,19.56,197,-116.74,22.0,31.33,39.82,84.25
388.25,41.0,74.25,47,-58.63,7.4,31.27,32.68,94.87
378.01,69.45,48.85,167,-148.79,27.8,31.29,26.78,85.41
356.07,44.43,8.21,166,-57.64,15.5,35.9,37.48,92.62
